,Subject,Clusters
223,HR Presentation EGM Overview EB C Tom Wilbeck ,5
224,JS Louisville,7
225,HTC Board Meeting,3
226,JS Louisville,7
227, AM Final VP PRC at the St Regis Hotel Jackie Martin ,6
228,Conf Call Joe H Alan A CP ,0
229,Interview Jeff Huff VP candidate for Freight Markets with Mike,7
230,nan,7
231,Management Committee Mtg offsite dinner at the Woodlands PM,3
232,Mtg Boardroom w Lay Skilling,5
233,Action Required Attend West Power Staff Meeting,1
234,Revised Randy Hardy,4
235,FW Mtg to discuss assignment of customers Transmission list ,3
236,Uninstructed Deviations Proposal of CAISO,3
237,Updated Upcoming changes at the CAISO penalties for uninstructed,2
238,Mt Bachelor Ski Trip Planning Meeting KA,5
239,Canceled RESCHEDULED Mt Bachelor Ski Trip Planning Meeting,5
240,Action Required Attend West Power Staff Meeting,1
241,New Target Price Mechanism,1
242,Updated Want a Workable Market for Coordinated Transmission ,2
243,Canceled EPC contractor risk review,5
